Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
495614,Four Archetypes,C.G. Jung,"Jung, C.G.",R.F.C. Hull,"=""0415304415""","=""9780415304412""",3,Routledge,Paperback,201,2004,1970,2024/03/29,2024/03/27,,,read,,,,1,0
21182,The Wisdom of Life,Arthur Schopenhauer,"Schopenhauer, Arthur",T. Bailey Saunders,"=""0486435504""","=""9780486435503""",0,Dover Publications,Paperback,77,2004,1851,,2024/03/29,to-read,to-read (#34),to-read,,,,0,0
646175,Modern Man in Search of a Soul,C.G. Jung,"Jung, C.G.","W.S. Dell, Cary F. Baynes","=""""","=""""",4,Harcourt ,Paperback,244,1955,1931,2024/03/27,2021/06/29,,,read,,,,1,0
55964507,Reflecting on the Names of Allah,Jinan Yousef,"Yousef, Jinan",,"=""9672420536""","=""9789672420538""",0,AL- BURUJ PRESS,Paperback,558,2020,,,2024/03/25,to-read,to-read (#33),to-read,,,,0,0
5506283,We Become What We Worship: A Biblical Theology of Idolatry,Gregory K. Beale,"Beale, Gregory K.",,"=""083082877X""","=""9780830828777""",0,IVP Academic,Paperback,341,2008,2008,,2024/03/22,on-the-bookshelf,on-the-bookshelf (#68),on-the-bookshelf,,,,0,0
59112558,Veteranhood: Rage and Hope in British Ex-Military Life,Joe Glenton,"Glenton, Joe",,"=""1913462455""","=""9781913462451""",3,Repeater,Paperback,250,2021,2021,2024/03/22,2021/11/15,,,read,,,,1,0
44492285,Dune Messiah (Dune #2),Frank Patrick Herbert,"Herbert, Frank Patrick",Brian Herbert,"=""0593098234""","=""9780593098233""",3,Ace,Mass Market Paperback,336,2019,1969,2024/03/21,2024/03/19,,,read,,,,1,0
25772375,"Dune (Dune, #1)",Frank Patrick Herbert,"Herbert, Frank Patrick",,"=""0340960191""","=""9780340960196""",5,Hodder,Paperback,577,2015,1965,2020/07/31,2020/07/31,,,read,,,,2,0
432223,This is It and Other Essays on Zen and Spiritual Experience,Alan W. Watts,"Watts, Alan W.",,"=""0394719042""","=""9780394719047""",3,Vintage,Unknown Binding,158,1973,1960,2024/03/16,2024/03/15,,,read,,,,1,0
41069,Stand on Zanzibar,John Brunner,"Brunner, John",,"=""1857988361""","=""9781857988369""",3,Gollancz,Paperback,672,1999,1968,2024/03/14,2023/06/14,,,read,,,,1,0
331256,Roadside Picnic,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Theodore Sturgeon, Antonina W. Bouis","=""0575070536""","=""9780575070530""",5,Gollancz,Paperback,145,2000,1972,2024/03/09,2024/03/06,,,read,,,,1,0
15958503,Reflections,Charles Le Gai Eaton,"Eaton, Charles Le Gai",,"=""1903682827""","=""9781903682821""",4,Islamic Texts Society,Paperback,184,2013,2013,2024/03/08,2024/02/23,,,read,,,,1,0
88432,Life and Fate,Vasily Grossman,"Grossman, Vasily",,"=""""","=""""",0,Vintage Classics,Paperback,864,2006,1960,,2023/12/29,on-the-bookshelf,on-the-bookshelf (#67),on-the-bookshelf,,,,0,0
683887,King of the Castle: Choice and Responsibility in the Modern World (Islamic Texts Society),Charles Le Gai Eaton,"Eaton, Charles Le Gai",,"=""0946621217""","=""9780946621217""",4,Islamic Texts Society,Paperback,216,1999,1977,2024/03/05,2024/02/23,,,read,,,,1,0
205218,Ethics,Baruch Spinoza,"Spinoza, Baruch","Stuart Hampshire, Edwin M. Curley","=""0140435719""","=""9780140435719""",0,Penguin Classics,Paperback,186,2005,1677,,2024/02/28,to-read,to-read (#32),to-read,,,,0,0
717107,Remembering God : Reflections on Islam,Charles Le Gai Eaton,"Eaton, Charles Le Gai",,"=""193063708X""","=""9781930637085""",4,"Kazi Publications, Inc.",Paperback,256,2000,2000,2024/02/19,2024/02/04,,,read,,,,1,0
